timestamp,src_ip,dst_ip,error,status
2026-06-07 20:24:45.790385,192.168.1.8,20.44.10.122,51570.29296875,THREAT
2026-06-07 20:24:45.798935,192.168.1.8,20.44.10.122,51570.29296875,THREAT
2026-06-07 20:24:45.802981,192.168.1.8,20.44.10.122,867.236572265625,THREAT
2026-06-07 20:24:45.953014,20.44.10.122,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:24:45.958680,20.44.10.122,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:24:45.978873,20.44.10.122,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:24:45.982941,20.44.10.122,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:24:45.986867,20.44.10.122,192.168.1.8,77.50401306152344,THREAT
2026-06-07 20:24:45.996278,20.44.10.122,192.168.1.8,592.780517578125,THREAT
2026-06-07 20:24:46.008404,192.168.1.8,20.44.10.122,77.50401306152344,THREAT
2026-06-07 20:24:46.281222,192.168.1.6,224.0.0.251,890.0001831054688,THREAT
2026-06-07 20:24:46.546230,192.168.1.6,224.0.0.251,890.0001831054688,THREAT
2026-06-07 20:24:46.782724,192.168.1.6,224.0.0.251,890.0001831054688,THREAT
2026-06-07 20:24:47.079213,192.168.1.6,224.0.0.251,6171.1708984375,THREAT
2026-06-07 20:24:47.559521,192.168.1.8,20.184.175.9,6234.41455078125,THREAT
2026-06-07 20:24:47.564982,192.168.1.8,20.184.175.9,51570.29296875,THREAT
2026-06-07 20:24:47.575203,192.168.1.8,20.184.175.9,1740.0731201171875,THREAT
2026-06-07 20:24:47.666945,192.168.1.8,20.42.65.89,6283.7802734375,THREAT
2026-06-07 20:24:47.673567,192.168.1.8,20.42.65.89,51570.29296875,THREAT
2026-06-07 20:24:47.683924,192.168.1.8,20.42.65.89,1587.8780517578125,THREAT
2026-06-07 20:24:47.777049,192.168.1.8,20.44.10.122,694.5609741210938,THREAT
2026-06-07 20:24:47.781082,192.168.1.8,20.44.10.122,51570.29296875,THREAT
